startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Mar 16 02:24:28,2016 Mar 16 02:24:29,1458095068.0,1458095069.0,1.0,1749.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 02:51:54,2016 Mar 16 02:51:54,1458096714.0,1458096714.0,0.0,1645.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 02:58:46,2016 Mar 16 02:58:46,1458097126.0,1458097126.0,0.0,412.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 03:29:36,2016 Mar 16 03:29:36,1458098976.0,1458098976.0,0.0,1850.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 03:41:27,2016 Mar 16 03:41:27,1458099687.0,1458099687.0,0.0,711.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 03:41:49,2016 Mar 16 03:41:50,1458099709.0,1458099710.0,1.0,22.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 03:48:18,2016 Mar 16 03:48:18,1458100098.0,1458100098.0,0.0,388.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 04:18:32,2016 Mar 16 04:18:32,1458101912.0,1458101912.0,0.0,1814.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 04:18:35,2016 Mar 16 04:18:35,1458101915.0,1458101915.0,0.0,3.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 04:41:55,2016 Mar 16 04:41:55,1458103315.0,1458103315.0,0.0,1400.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 06:25:49,2016 Mar 16 06:25:49,1458109549.0,1458109549.0,0.0,6234.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 06:41:05,2016 Mar 16 06:41:05,1458110465.0,1458110465.0,0.0,916.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 06:57:33,2016 Mar 16 06:57:33,1458111453.0,1458111453.0,0.0,988.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 06:57:37,2016 Mar 16 06:57:38,1458111457.0,1458111458.0,1.0,4.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 07:25:27,2016 Mar 16 07:25:27,1458113127.0,1458113127.0,0.0,1669.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
