startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Feb  5 17:37:29,2016 Feb  5 17:38:01,1454693849.0,1454693881.0,32.0,22529.0,1/3,lacp block,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb  5 17:42:02,2016 Feb  5 17:43:23,1454694122.0,1454694203.0,81.0,241.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb  5 17:43:46,2016 Feb  5 17:43:49,1454694226.0,1454694229.0,3.0,23.0,1/3,lacp block,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb  5 20:04:45,2016 Feb  5 20:05:52,1454702685.0,1454702752.0,67.0,8456.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb  5 20:55:17,2016 Feb  5 20:55:43,1454705717.0,1454705743.0,26.0,2965.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb  5 20:56:18,2016 Feb  5 20:56:47,1454705778.0,1454705807.0,29.0,35.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb  5 22:04:09,2016 Feb  5 22:04:33,1454709849.0,1454709873.0,24.0,4042.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb  5 22:57:50,2016 Feb  5 22:58:15,1454713070.0,1454713095.0,25.0,3197.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb  8 07:33:48,2016 Feb  8 07:33:48,1454916828.0,1454916828.0,0.0,203733.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb 16 02:16:27,2016 Feb 16 02:16:28,1455588987.0,1455588988.0,1.0,672159.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb 17 17:23:11,2016 Feb 17 17:24:06,1455729791.0,1455729846.0,55.0,140803.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb 20 05:20:30,2016 Feb 20 05:20:30,1455945630.0,1455945630.0,0.0,215784.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb 23 01:54:19,2016 Feb 23 01:54:19,1456192459.0,1456192459.0,0.0,246829.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb 23 02:44:20,2016 Feb 23 02:44:20,1456195460.0,1456195460.0,0.0,3001.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Feb 23 08:46:43,2016 Feb 23 09:13:38,1456217203.0,1456218818.0,1615.0,21743.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Mar  1 17:39:21,2016 Mar  1 17:44:59,1456853961.0,1456854299.0,338.0,635143.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Mar  1 17:48:46,2016 Mar  1 17:48:50,1456854526.0,1456854530.0,4.0,227.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Mar  1 17:49:15,2016 Mar  1 17:50:13,1456854555.0,1456854613.0,58.0,25.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Mar  1 17:58:46,2016 Mar  1 17:59:22,1456855126.0,1456855162.0,36.0,513.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Mar  1 17:59:28,2016 Mar  1 17:59:59,1456855168.0,1456855199.0,31.0,6.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
