startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Apr 21 15:29:47,2016 Apr 21 15:29:47,1461252587.0,1461252587.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Apr 21 15:29:48,2016 Apr 21 15:29:48,1461252588.0,1461252588.0,0.0,1.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Apr 21 15:29:48,2016 Apr 21 15:29:48,1461252588.0,1461252588.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Apr 21 15:29:49,2016 Apr 21 15:29:49,1461252589.0,1461252589.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Apr 29 10:24:14,2016 Apr 29 10:24:15,1461925454.0,1461925455.0,1.0,672865.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  2 10:14:47,2016 May  2 10:31:05,1462184087.0,1462185065.0,978.0,258632.0,1/2,disabled,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  3 11:23:39,2016 May  3 11:24:40,1462274619.0,1462274680.0,61.0,89554.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  3 11:24:40,2016 May  3 11:24:40,1462274680.0,1462274680.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  3 11:24:41,2016 May  3 11:24:41,1462274681.0,1462274681.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  3 11:24:41,2016 May  3 11:24:41,1462274681.0,1462274681.0,0.0,0.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  3 11:24:42,2016 May  3 11:24:42,1462274682.0,1462274682.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  3 11:24:42,2016 May  3 11:24:42,1462274682.0,1462274682.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  3 11:24:43,2016 May  3 11:24:43,1462274683.0,1462274683.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  4 13:06:24,2016 May  4 13:06:24,1462367184.0,1462367184.0,0.0,92501.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  4 14:37:25,2016 May  4 14:37:30,1462372645.0,1462372650.0,5.0,5461.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  4 14:37:30,2016 May  4 14:37:30,1462372650.0,1462372650.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  4 14:37:31,2016 May  4 14:37:31,1462372651.0,1462372651.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  4 14:37:31,2016 May  4 14:37:31,1462372651.0,1462372651.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  4 14:37:32,2016 May  4 14:37:32,1462372652.0,1462372652.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  4 14:37:33,2016 May  4 14:37:33,1462372653.0,1462372653.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  4 14:37:33,2016 May  4 14:37:33,1462372653.0,1462372653.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  4 23:13:08,2016 May  4 23:13:08,1462403588.0,1462403588.0,0.0,30935.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:29:21,2016 May  6 09:29:21,1462526961.0,1462526961.0,0.0,123373.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:32:26,2016 May  6 09:32:26,1462527146.0,1462527146.0,0.0,185.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:57:26,2016 May  6 09:57:29,1462528646.0,1462528649.0,3.0,1500.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:57:30,2016 May  6 09:57:36,1462528650.0,1462528656.0,6.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:57:36,2016 May  6 09:57:37,1462528656.0,1462528657.0,1.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:57:37,2016 May  6 09:57:37,1462528657.0,1462528657.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:57:38,2016 May  6 09:57:38,1462528658.0,1462528658.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:57:47,2016 May  6 09:58:03,1462528667.0,1462528683.0,16.0,9.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:58:03,2016 May  6 09:58:03,1462528683.0,1462528683.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:58:04,2016 May  6 09:58:04,1462528684.0,1462528684.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:58:13,2016 May  6 09:58:16,1462528693.0,1462528696.0,3.0,9.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:58:17,2016 May  6 09:58:17,1462528697.0,1462528697.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:58:17,2016 May  6 09:58:19,1462528697.0,1462528699.0,2.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:58:19,2016 May  6 09:58:19,1462528699.0,1462528699.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:58:20,2016 May  6 09:58:20,1462528700.0,1462528700.0,0.0,1.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:58:21,2016 May  6 09:58:21,1462528701.0,1462528701.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 09:58:21,2016 May  6 09:58:21,1462528701.0,1462528701.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May  6 12:06:03,2016 May  6 12:06:03,1462536363.0,1462536363.0,0.0,7662.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 09:18:47,2016 May 11 09:20:40,1462958327.0,1462958440.0,113.0,421964.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 09:20:40,2016 May 11 09:20:41,1462958440.0,1462958441.0,1.0,0.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 09:20:41,2016 May 11 09:20:41,1462958441.0,1462958441.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 09:20:41,2016 May 11 09:20:41,1462958441.0,1462958441.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 09:20:42,2016 May 11 09:20:42,1462958442.0,1462958442.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 09:20:43,2016 May 11 09:20:43,1462958443.0,1462958443.0,0.0,1.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 09:20:43,2016 May 11 09:20:43,1462958443.0,1462958443.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 09:20:43,2016 May 11 09:20:43,1462958443.0,1462958443.0,0.0,0.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 09:20:44,2016 May 11 09:20:44,1462958444.0,1462958444.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 09:20:45,2016 May 11 09:20:45,1462958445.0,1462958445.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 09:20:45,2016 May 11 09:20:45,1462958445.0,1462958445.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 15:22:00,2016 May 11 15:23:53,1462980120.0,1462980233.0,113.0,21675.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 15:23:53,2016 May 11 15:23:54,1462980233.0,1462980234.0,1.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 15:23:54,2016 May 11 15:23:54,1462980234.0,1462980234.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 15:23:55,2016 May 11 15:23:55,1462980235.0,1462980235.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 15:23:55,2016 May 11 15:23:55,1462980235.0,1462980235.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 11 15:23:56,2016 May 11 15:23:56,1462980236.0,1462980236.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
