startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Aug  2 14:59:19,2016 Aug  2 14:59:19,1470149959.0,1470149959.0,0.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:21,2016 Aug  2 14:59:22,1470149961.0,1470149962.0,1.0,2.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:26,2016 Aug  2 14:59:26,1470149966.0,1470149966.0,0.0,4.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:29,2016 Aug  2 14:59:29,1470149969.0,1470149969.0,0.0,3.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:30,2016 Aug  2 14:59:31,1470149970.0,1470149971.0,1.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:31,2016 Aug  2 14:59:32,1470149971.0,1470149972.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:35,2016 Aug  2 14:59:35,1470149975.0,1470149975.0,0.0,3.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:36,2016 Aug  2 14:59:37,1470149976.0,1470149977.0,1.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:38,2016 Aug  2 14:59:39,1470149978.0,1470149979.0,1.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:40,2016 Aug  2 14:59:40,1470149980.0,1470149980.0,0.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:40,2016 Aug  2 14:59:41,1470149980.0,1470149981.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:41,2016 Aug  2 14:59:42,1470149981.0,1470149982.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:43,2016 Aug  2 14:59:43,1470149983.0,1470149983.0,0.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:46,2016 Aug  2 14:59:46,1470149986.0,1470149986.0,0.0,3.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:47,2016 Aug  2 14:59:47,1470149987.0,1470149987.0,0.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:50,2016 Aug  2 14:59:50,1470149990.0,1470149990.0,0.0,3.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:59:54,2016 Aug  2 14:59:55,1470149994.0,1470149995.0,1.0,4.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 15:00:02,2016 Aug  2 15:00:03,1470150002.0,1470150003.0,1.0,7.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 15:00:04,2016 Aug  2 15:00:05,1470150004.0,1470150005.0,1.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  3 07:19:01,2016 Aug  3 07:19:01,1470208741.0,1470208741.0,0.0,58736.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
